sample,model,ChamferDistance,IoU
camera,hunyuan,0.00405,0.35642
camera,instantmesh,0.01069,0.32559
camera,lgm,0.04469,0.10509
camera,triposr,0.00542,0.35145
camera,zeroshape,0.02430,0.15927
elephant,hunyuan,0.04356,0.13634
elephant,instantmesh,0.02207,0.23697
elephant,lgm,0.04637,0.09547
elephant,triposr,0.04611,0.13710
elephant,zeroshape,0.05555,0.06918
minecraft_pig,hunyuan,0.11795,0.11939
minecraft_pig,instantmesh,0.01818,0.17312
minecraft_pig,lgm,0.05599,0.09885
minecraft_pig,triposr,0.00730,0.31412
minecraft_pig,zeroshape,0.06081,0.18264
plant,hunyuan,0.02777,0.15938
plant,instantmesh,0.02369,0.20768
plant,lgm,0.05115,0.16068
plant,triposr,0.02707,0.18433
plant,zeroshape,0.06450,0.11392
rabbit,hunyuan,0.01352,0.25820
rabbit,instantmesh,0.04635,0.13553
rabbit,lgm,0.02608,0.17144
rabbit,triposr,0.03090,0.13822
rabbit,zeroshape,0.08654,0.11699
