model,mean_score,score_0,score_1,score_2,score_3,score_4,score_5,score_6,score_7
hunyuan/big_bottle,0.0172,0.0226,0.0151,0.0203,0.0256,0.0141,0.0194,0.0095,0.0107
hunyuan/camera,0.0875,0.0999,0.0730,0.0881,0.0704,0.0849,0.0956,0.0795,0.1090
hunyuan/elephant,0.1404,0.0958,0.0560,0.1258,0.2080,0.2745,0.1392,0.1004,0.1232
hunyuan/mate_bottle,0.0678,0.0980,0.0456,0.0345,0.1123,0.1124,0.0292,0.0390,0.0711
hunyuan/minecraft_pig,0.1265,0.1336,0.1291,0.1001,0.1691,0.1380,0.1415,0.0898,0.1107
hunyuan/plant,0.0820,0.0825,0.0661,0.1035,0.0773,0.0705,0.0663,0.1073,0.0824
hunyuan/rabbit,0.0483,0.0461,0.0379,0.0337,0.0834,0.0506,0.0515,0.0334,0.0497
instantmesh/big_bottle,0.1003,0.0478,0.1649,0.2260,0.0478,0.0373,0.1029,0.1309,0.0448
instantmesh/camera,0.1433,0.0978,0.1712,0.1763,0.1806,0.2551,0.0799,0.1088,0.0766
instantmesh/elephant,0.1436,0.1226,0.1847,0.1461,0.2513,0.0932,0.1694,0.1194,0.0617
instantmesh/mate_bottle,0.0815,0.0440,0.1260,0.1620,0.0265,0.0291,0.1076,0.1235,0.0330
instantmesh/minecraft_pig,0.1176,0.0950,0.1329,0.1506,0.1312,0.0830,0.1132,0.1516,0.0835
instantmesh/plant,0.0925,0.0839,0.0878,0.0721,0.0921,0.1018,0.1541,0.0799,0.0685
instantmesh/rabbit,0.0508,0.0519,0.0385,0.0677,0.0679,0.0433,0.0430,0.0458,0.0485
lgm/big_bottle,0.0282,0.0281,0.0325,0.0452,0.0292,0.0157,0.0346,0.0251,0.0155
lgm/camera,0.1072,0.1826,0.1065,0.0827,0.0923,0.0912,0.1216,0.0925,0.0878
lgm/elephant,0.0723,0.0706,0.0862,0.0773,0.0767,0.0661,0.0643,0.0719,0.0650
lgm/mate_bottle,0.0837,0.0597,0.0983,0.1430,0.0554,0.0371,0.1076,0.0570,0.1113
lgm/minecraft_pig,0.0739,0.0554,0.1022,0.0970,0.0625,0.0669,0.0761,0.0755,0.0555
lgm/plant,0.1140,0.0811,0.0686,0.0772,0.1096,0.1152,0.1913,0.1318,0.1370
lgm/rabbit,0.0537,0.1050,0.0323,0.0469,0.0629,0.0521,0.0424,0.0159,0.0723
triposr/big_bottle,0.0618,0.0970,0.0443,0.1115,0.0227,0.0764,0.0174,0.0718,0.0530
triposr/camera,0.1234,0.0889,0.1577,0.1094,0.1240,0.1913,0.0801,0.1134,0.1224
triposr/elephant,0.0905,0.0865,0.0785,0.1100,0.0842,0.0720,0.1032,0.1331,0.0564
triposr/mate_bottle,0.0674,0.0652,0.0687,0.1059,0.0354,0.0968,0.0202,0.1041,0.0432
triposr/minecraft_pig,0.0844,0.0763,0.0691,0.1048,0.0839,0.0799,0.0929,0.0897,0.0788
triposr/plant,0.1608,0.2287,0.1413,0.0701,0.1705,0.1120,0.1791,0.1121,0.2726
triposr/rabbit,0.0550,0.0449,0.0468,0.0685,0.0390,0.0330,0.0605,0.1053,0.0421
zeroshape/big_bottle_mesh,0.0584,0.0378,0.0662,0.0710,0.0304,0.0263,0.0826,0.1252,0.0280
zeroshape/camera_mesh,0.1569,0.1670,0.2279,0.2623,0.1313,0.2291,0.0752,0.0700,0.0925
zeroshape/elephant_mesh,0.0649,0.0833,0.0864,0.0367,0.0487,0.0638,0.0934,0.0450,0.0619
zeroshape/mate_bottle_mesh,0.0499,0.0529,0.0766,0.0259,0.0681,0.0513,0.0541,0.0237,0.0468
zeroshape/minecraft_pig_mesh,0.1020,0.1144,0.0733,0.0893,0.1173,0.1109,0.0643,0.0886,0.1577
zeroshape/plant_mesh,0.0735,0.0738,0.0607,0.1007,0.0675,0.0893,0.0581,0.0763,0.0614
zeroshape/rabbit_mesh,0.0747,0.0709,0.0567,0.0473,0.0782,0.0826,0.0728,0.0875,0.1014
